Subject 1,Subject 2,Relationship1,Relationship2
Tom_Hanks,Colin_Hanks,Father,Son
Blythe_Danner,Gwyneth_Paltrow,Mother,Daughter
Janet_Leigh,Jamie_Lee_Curtis,Mother,Daughter
Tony_Curtis,Jamie_Lee_Curtis,Father,Daughter
Goldie_Hawn,Kate_Hudson,Mother,Daughter
Goldie_Hawn,Oliver_Hudson,Mother,Daughter
Bill_Hudson,Kate_Hudson,Father,Daughter
Bill_Hudson,Oliver_Hudson,Father,Daughter
Henry_Fonda,Jane_Fonda,Father,Daughter
Henry_Fonda,Peter_Fonda,Father,Son
Donald_Sutherland,Kiefer_Sutherland,Father,Son
Donald_Sutherland,Rossif_Sutherland,Father,Son
Jerry_Stiller,Ben_Stiller,Father,Son
Jon_Voight,Angelina_Jolie,Father,Daughter
Martin_Sheen,Charlie_Sheen,Father,Son
Martin_Sheen,Emilio_Estevez,Father,Son
Lloyd_Bridges,Beau_Bridges,Father,Son
Lloyd_Bridges,Jeff_Bridges,Father,Son
Kirk_Douglas,Michael_Douglas,Father,Son
Judy_Garland,Liza_Minelli,Mother,Daughter
Paul_McCartney,Stella_McCartney,Father,Daughter
John_Aniston,Jennifer_Aniston,Father,Daughter
Keith_Allen,Lily_Allen,Father,Daughter
Roxie_Roker,Lenny_Kravitz,Mother,Son
Cliff_Arquette,Lewis_Arquette,Father,Son
Lewis_Arquette,Rosanna_Arquette,Father,Daughter
Lewis_Arquette,Richmond_Arquette,Father,Son
Lewis_Arquette,Patricia_Arquette,Father,Daughter
Lewis_Arquette,David_Arquette,Father,Son
James_Brolin,Josh_Brolin,Father,Son
Billy_Ray_Cyrus,Miley_Cyrus,Father,Daughter
Will_Knightley,Keira_Knightley,Father,Daughter
Peggy_Lipton,Rashida_Jones,Mother,Daughter
Quincy_Jones,Rashida_Jones,Father,Daughter
Chris_Elliot,Abby_Elliot,Father,Daughter
Yolanda_Hadid,Bella_Hadid,Mother,Daughter
Yolanda_Hadid,Gigi_Hadid,Mother,Daughter
Robert_Pine,Chris_Pine,Father,Son
Don_Adams,Cecily_Adams,Father,Daughter
Michael_Lee_Aday,Amanda_Aday,Father,Daughter
Robert_Alda,Alan_Alda,Father,Son
Robert_Montgomery,Elizabeth_Montgomery,Father,Daughter
Phylicia_Rashad,Debbie_Allen,Mother,Daughter
Ozzy_Osbourne,Jack_Osbourne,Father,Son
Ozzy_Osbourne,Kelly_Osbourne,Father,Daughter
Sharon_Osbourne,Jack_Osbourne,Mother,Son
Sharon_Osbourne,Kelly_Osbourne,Mother,Daughter
Alan_Arkin,Adam_Arkin,Father,Son
Pedro_Armendariz,Pedro_Armendariz_Jr,Father,Son
John_Allen_Astin,Mackenzie_Astin,Father,Son
John_Allen_Astin,Sean_Astin,Father,Son
Patty_Duke,Mackenzie_Astin,Mother,Son
Patty_Duke,Sean_Astin,Mother,Son
Rene_Auberjonois,Remy_Auberjonois,Father,Son
Lucille_Ball,Desi_Arnaz_Jr,Mother,Son
Lucille_Ball,Lucie_Arnaz,Mother,Daughter
Desi_Arnaz,Desi_Arnaz_Jr,Father,Son
Desi_Arnaz,Lucie_Arnaz,Father,Daughter
Jim_Bannon,Jack_Bannon,Father,Son
Silvia_Pinal,Sylvia_Pasquel,Mother,Daughter
Silvia_Pinal,Alejandra_Guzman,Mother,Daughter
Rafael_Bardem,Pilar_Bardem,Father,Daughter
Pilar_Bardem,Carlos_Bardem,Mother,Son
Pilar_Bardem,Javier_Bardem,Mother,Son
John_Drew_Barrymore,Drew_Barrymore,Father,Daughter
Paul_Anka,Amanda_Anka,Father,Daughter
Shirley_MacLaine,Sachi_Parker,Mother,Daughter
Ed_Begley,Ed_Begley_Jr,Father,Son
Deborah_Pratt,Troian_Bellisario,Mother,Daughter
Frances_Bergen,Candice_Bergen,Mother,Daughter
James_Broderick,Matthew_Broderick,Father,Son
Barbra_Streisand,Jason_Gould,Mother,Son
Elliott_Gould,Jason_Gould,Father,Son
Mel_Brooks,Max_Brooks,Father,Son
Anne_Bancroft,Max_Brooks,Mother,Son
Pierce_Brosnan,Sean_Brosnan,Father,Son
Joyce_Bulifant,John_Mallory_Asher,Mother,Son
Carol_Burnett,Carrie_Hamilton,Mother,Daughter
Gary_Busey,Jake_Busey,Father,Son
James_Caan,Scott_Caan,Father,Son
Keith_Carradine,Martha_Plimpton,Father,Daughter
Robert_Carradine,Ever_Carradine,Father,Daughter
John_Cassavetes,Nick_Cassavetes,Father,Son
John_Cassavetes,Zoe_Cassavetes,Father,Daughter
Gena_Rowlands,Nick_Cassavetes,Mother,Son
Gena_Rowlands,Zoe_Cassavetes,Mother,Daughter
Tommy_Chong,Marcus_Chong,Father,Son
Tommy_Chong,Rae_Dawn_Chong,Father,Daughter
Tommy_Chong,Robbi_Chong,Father,Daughter
John_Cleese,Cynthia_Cleese,Father,Daughter
Martin_Balsam,Talia_Balsam,Father,Daughter
Nick_Clooney,George_Clooney,Father,Son
Rosemary_Clooney,Miguel_Ferrer,Mother,Son
Nat_King_Cole,Natalie_Cole,Father,Daughter
Sean_Connery,Jason_Connery,Father,Son
Tom_Conti,Nina_Conti,Father,Daughter
Talia_Shire,Jason_Schwartzman,Mother,Son
Francis_Ford_Coppola,Sofia_Coppola,Father,Daughter
Wanda_Ventham,Benedict_Cumberbatch,Mother,Son
Jasper_Carrott,Lucy_Davis,Father,Daughter
Peter_Davison,Georgia_Moffett,Father,Daughter
Brian_Dennehy,Elizabeth_Dennehy,Father,Daughter
Gerard_Depardieu,Guillaume_Depardieu,Father,Son
Gerard_Depardieu,Julie_Depardieu,Father,Daughter
Bruce_Dern,Laura_Dern,Father,Daughter
Diane_Ladd,Laura_Dern,Mother,Daughter
Clint_Eastwood,Alison_Eastwood,Father,Daughter
Clint_Eastwood,Scott_Eastwood,Father,Son
Debbie_Reynolds,Carrie_Fisher,Mother,Daughter
Peter_Fonda,Bridget_Fonda,Father,Daughter
Jane_Fonda,Troy_Garity,Mother,Son
Edward_Fox,Emilia_Fox,Father,Daughter
Edward_Fox,Freddie_Fox,Father,Son
Andy_Garcia,Dominik_Garcia_Lorido,Father,Daughter
Joel_Grey,Jennifer_Grey,Father,Daughter
Johnny_Hallyday,Laura_Smet,Father,Daughter
Alana_Stewart,Ashley_Hamilton,Mother,Son
Wings_Hauser,Cole_Hauser,Father,Son
Kathy_Hilton,Nicky_Hilton,Mother,Daughter
Kathy_Hilton,Paris_Hilton,Mother,Daughter
Rance_Howard,Ron_Howard,Father,Son
Rance_Howard,Clint_Howard,Father,Son
Ron_Howard,Bryce_Dallas_Howard,Father,Daughter
Julio_Iglesias,Chabeli_Iglesias,Father,Daughter
Julio_Iglesias,Enrique_Iglesias,Father,Son
Julio_Iglesias,Julio_Iglesias_Jr,Father,Son
Jeremy_Irons,Max_Irons,Father,Son
Naomi_Judd,Ashley_Judd,Mother,Daughter
Naomi_Judd,Wynonna_Judd,Mother,Daughter
Kris_Jenner,Kendall_Jenner,Mother,Daughter
Kris_Jenner,Kylie_Jenner,Mother,Daughter
Kris_Jenner,Kim_Kardhashian,Mother,Daughter
Kris_Jenner,Kourtney_Kardhashian,Mother,Daughter
Kris_Jenner,Khloe_Kardhashian,Mother,Daughter
Kris_Jenner,Rob_Kardhashian,Mother,Son
Arlene_Dahl,Lorenzo_Lamas,Mother,Son
Martin_Landau,Juliet_Landau,Father,Daughter
Barbara_Bain,Juliet_Landau,Mother,Daughter
John_Lennon,Julian_Lennon,Father,Son
Paul_McCartney,Stella_McCartney,Father,Daughter
Paul_McCartney,James_McCartney,Father,Son
Paul_McCartney,Mary_McCartney,Father,Daughter
Ryan_ONeil,Tatum_ONeill,Father,Daughter
Christopher_Plummer,Amanda_Plummer,Father,Daughter
Elvis_Presley,Lisa_Marie_Presley,Father,Daughter
Carl_Reiner,Rob_Reiner,Father,Son
Eric_Roberts,Emma_Roberts,Father,Daughter
William_Shatner,Melanie_Shatner,Father,Daughter
Paul_Sorvino,Mira_Sorvino,Father,Daughter
Sissy_Spacek,Schuyler_Fisk,Mother,Daughter
Timothy_Spall,Rafe_Spall,Father,Son
Meryl_Streep,Mamie_Gummer,Mother,Daughter
Meryl_Streep,Grace_Gummer,Mother,Daughter
Alan_Thicke,Robin_Thicke,Father,Son
Donald_Trump,Donald_Trump_Jr,Father,Son
Donald_Trump,Eric_Trump,Father,Son
Donald_Trump,Ivanka_Trump,Father,Daughter
Sam_Waterston,James_Waterston,Father,Son
Sam_Waterston,Katherine_Waterston,Father,Daughter
Prunella_Scales,Samuel_West,Mother,Son
Susan_Sarandon,Eva_Amurri_Martino,Mother,Daughter
Vanessa_Redgrave,Joely_Richardson,Mother,Daughter
Vanessa_Redgrave,Natasha_Richardson,Mother,Daughter
Olivia_Hussey,India_Eisley,Mother,Daughter
Tippi_Hedren,Melanie_Griffith,Mother,Daughter
Melanie_Griffith,Dakota_Johnson,Mother,Daughter
Demi_Moore,Rumer_Willis,Mother,Daughter
Connie_Stevens,Joely_Fisher,Mother,Daughter
George_C_Scott,Cambell_Scott,Father,Son
Shirley_Douglas,Kiefer_Sutherland,Mother,Son
Gloria_Vanderbilt,Anderson_Cooper,Mother,Son
Maria_Shriver,Patrick_Schwarzenegger,Mother,Son
Maria_Shriver,Katherine_Schwarzenegger,Mother,Daughter
Queen_Elizabeth_II,Charles_Prince_of_Wales,Mother,Son
Queen_Elizabeth_II,Prince_Andrew_Duke_of_York,Mother,Son
Queen_Elizabeth_II,Prince_Edward_Earl_of_Wessex,Mother,Son
Queen_Elizabeth_II,Anne_Princess_Royal,Mother,Daughter
Princess_Diana,Prince_Harry,Mother,Son
Princess_Diana,Prince_Williams,Mother,Son
Anne_Meara,Ben_Stiller,Mother,Son
Mia_Farrow,Ronan_Farrow,Mother,Son
Sean_Penn,Hopper_Penn,Father,Son
Sean_Penn,Dylan_Penn,Father,Daughter
Robin_Wright,Hopper_Penn,Mother,Son
Robin_Wright,Dylan_Penn,Mother,Daughter
Diana_Rigg,Rachel_Stirling,Mother,Daughter
Rosemary_Harris,Jennifer_Ehle,Mother,Daughter
Patrick_Troughton,David_Troughton,Father,Son
David_Troughton,Sam_Troughton,Father,Son
Maggie_Smith,Toby_Stephens,Mother,Son
Maggie_Smith,Chris_Larkin,Mother,Son
Robert_Stephens,Toby_Stephens,Father,Son
Robert_Stephens,Chris_Larkin,Father,Son
Phyllida_Law,Emma_Thompson,Mother,Daughter
David_Fleeshman,Richard_Fleeshman,Father,Son
Anna_Vissi,Sofia_Karvela,Mother,Daughter
Nikos_Karvelas,Sofia_Karvela,Father,Daughter
Aliki_Vougiouklaki,Giannis_Papamichael,Mother,Son
Dimitris_Papamichael,Giannis_Papamichael,Father,Son
Konstantinos_Mitsotakis,Dora_Bakoyannis,Father,Daughter
Konstantinos_Mitsotakis,Kyriakos_Mitsotakis,Father,Son
Andreas_Papandreou,Georgios_Papandreou,Father,Son
Andreas_Papandreou,Andreas_Jr_Papandreou,Father,Son
Andreas_Papandreou,Sofia_Papandreou,Father,Daughter
Andreas_Papandreou,Nikos_Papandreou,Father,Son
Margaret_Papandreou,Georgios_Papandreou,Mother,Son
Margaret_Papandreou,Andreas_Jr_Papandreou,Mother,Son
Margaret_Papandreou,Sofia_Papandreou,Mother,Daughter
Margaret_Papandreou,Nikos_Papandreou,Mother,Son
Sokratis_Kokkalis,Petros_Kokkalis,Father,Son
Pavlos_Giannakopoulos,Dimitrios_Giannakopoulos,Father,Son
Marianna_Vardinogianni,Giannis_Vardinogiannis,Mother,Son
Giannis_Zouganelis,Eleonora_Zouganeli,Father,Daughter
Ntinos_Karidis,Smaragda_Karidi,Father,Daughter
Stratos_Dionisiou,Stelios_Dionisiou,Father,Son
George_Bush_Sr,George_Bush_Jr,Father,Son
Joey_Bishop,Larry_Bishop,Father,Son
Ioannis_Varvitsiotis,Miltiadis_Varvitsiotis,Father,Son
John_Huston,Anjelica_Huston,Father,Daughter
John_Huston,Danny_Huston,Father,Son
Eddie_Fisher,Carrie_Fisher,Father,Daughter
Mickey_Hargitay,Mariska_Hargitay,Father,Daughter
Jayne_Mansfield,Mariska_Hargitay,Mother,Daughter
Harry_Redknapp,Jamie_Redknapp,Father,Son
Dragan_Sakota,Dusan_Sakota,Father,Son
Peter_Schmeichel,Kasper_Schmeichel,Father,Son
Zinedine_Zidane,Enzo_Zidane,Father,Son
Diego_Maradona,Diego_Sinagra,Father,Son
Jean_Djorkaeff,Youri_Djorkaeff,Father,Son
Danny_Blind,Daley_Blind,Father,Son
Boban_Jankovic,Vladimir_Jankovic,Father,Son
Bob_Boone,Aaron_Boone,Father,Son
Bob_Boone,Bret_Boone,Father,Son
David_Beckham,Brooklyn_Beckham,Father,Son
Victoria_Beckham,Brooklyn_Beckham,Mother,Son
Cesare_Maldini,Paolo_Maldini,Father,Son
Archie_Manning,Eli_Manning,Father,Son
Archie_Manning,Peyton_Manning,Father,Son
Frank_Lampard_Sr,Frank_Lampard,Father,Son
Arnold_Schwarzenegger,Patrick_Schwarzenegger,Father,Son
Arnold_Schwarzenegger,Katherine_Schwarzenegger,Father,Daughter
Eunice_Kennedy_Shriver,Maria_Shriver,Mother,Daughter
Eunice_Kennedy_Shriver,Mark_Shriver,Mother,Son
Eunice_Kennedy_Shriver,Timothy_Shriver,Mother,Son
Eunice_Kennedy_Shriver,Bobby_Shriver,Mother,Son
Eunice_Kennedy_Shriver,Anthony_Shriver,Mother,Son
John_F_Kennedy,Caroline_Kennedy,Father,Daughter
Jacqueline_Kennedy_Onassis,Caroline_Kennedy,Mother,Daughter
Ted_Kennedy,Edward_M_Kennedy_Jr,Father,Son
Ted_Kennedy,Kara_Kennedy,Father,Daughter
Ted_Kennedy,Patrick_J_Kennedy,Father,Son
Robert_F_Kennedy,Kathleen_Kennedy_Townsend,Father,Daughter
Robert_F_Kennedy,Joseph_P_Kennedy_II,Father,Son
Robert_F_Kennedy,Robert_F_Kennedy_Jr,Father,Son
Robert_F_Kennedy,Kerry_Kennedy,Father,Daughter
Robert_F_Kennedy,Christopher_G_Kennedy,Father,Son
Robert_F_Kennedy,Max_Kennedy,Father,Son
Robert_F_Kennedy,Rory_Kennedy,Father,Daughter
Jean_Kennedy_Smith,William_Kennedy_Smith,Mother,Son
Joseph_P_Kennedy_II,Joseph_P_Kennedy_III,Father,Son
Ethel_Kennedy,Joseph_P_Kennedy_III,Mother,Son
Caroline_Kennedy,Rose_Schlossberg,Mother,Daughter
Ronald_Reagan,Patti_Davis,Father,Daughter
Ronald_Reagan,Michael_Reagan,Father,Son
Ronald_Reagan,Ron_Reagan,Father,Son
Bill_Clinton,Chelsea_Clinton,Father,Daughter
Hillary_Clinton,Chelsea_Clinton,Mother,Daughter
Barbara_Bush,George_Bush_Jr,Mother,Son
George_Bush_Jr,Barbara_Pierce_Bush,Father,Daughter
George_Bush_Jr,Jenna_Bush_Hager,Father,Daughter
Laura_Bush,Barbara_Pierce_Bush,Mother,Daughter
Laura_Bush,Jenna_Bush_Hager,Mother,Daughter
Nancy_Reagan,Patti_Davis,Mother,Daughter
Nancy_Reagan,Ron_Reagan,Mother,Son
Tony_Benn,Hilary_Benn,Father,Son
Steven_Tyler,Liv_Tyler,Father,Daughter
Bebe_Buell,Liv_Tyler,Mother,Daughter
Natalie_Wood,Natasha_Gregson_Wagner,Mother,Daughter
Bruce_Willis,Rumer_Willis,Father,Daughter
Vanessa_Williams,Jillian_Hervey,Mother,Daughter
Robert_Redford,Amy_Redford,Father,Daughter
Ingrid_Bergman,Isabella_Rossellini,Mother,Daughter
